a433-microservices-item-db-1   | 2023-12-12T04:50:18.502+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=f50004ce8031
a433-microservices-item-db-1   | 2023-12-12T04:50:18.503+0000 I CONTROL  [initandlisten] db version v3.6.23
a433-microservices-item-db-1   | 2023-12-12T04:50:18.503+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
a433-microservices-item-db-1   | 2023-12-12T04:50:18.503+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
a433-microservices-item-db-1   | 2023-12-12T04:50:18.503+0000 I CONTROL  [initandlisten] allocator: tcmalloc
a433-microservices-item-db-1   | 2023-12-12T04:50:18.503+0000 I CONTROL  [initandlisten] modules: none
a433-microservices-item-db-1   | 2023-12-12T04:50:18.503+0000 I CONTROL  [initandlisten] build environment:
a433-microservices-item-db-1   | 2023-12-12T04:50:18.503+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
a433-microservices-item-db-1   | 2023-12-12T04:50:18.503+0000 I CONTROL  [initandlisten]     distarch: x86_64
a433-microservices-item-db-1   | 2023-12-12T04:50:18.503+0000 I CONTROL  [initandlisten]     target_arch: x86_64
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 preinstall /app
a433-microservices-item-app-1  | > npx npm-force-resolutions
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | npx: installed 6 in 1.975s
a433-microservices-item-app-1  | audited 664 packages in 13.988s
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | 12 packages are looking for funding
a433-microservices-item-app-1  |   run `npm fund` for details
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | found 98 vulnerabilities (7 low, 34 moderate, 46 high, 11 critical)
a433-microservices-item-app-1  |   run `npm audit fix` to fix them, or `npm audit` for details
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 build /app
a433-microservices-item-app-1  | > node ./node_modules/gulp/bin/gulp.js
a433-microservices-item-db-1   | 2023-12-12T04:50:18.503+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
a433-microservices-item-db-1   | 2023-12-12T04:50:18.503+0000 I STORAGE  [initandlisten] 
a433-microservices-item-db-1   | 2023-12-12T04:50:18.503+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
a433-microservices-item-db-1   | 2023-12-12T04:50:18.503+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
a433-microservices-item-db-1   | 2023-12-12T04:50:18.503+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3401M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
a433-microservices-item-db-1   | 2023-12-12T04:50:19.101+0000 I STORAGE  [initandlisten] WiredTiger message [1702356619:101525][1:0x7f8af9cc7a40], txn-recover: Set global recovery timestamp: 0
a433-microservices-item-db-1   | 2023-12-12T04:50:19.178+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-12-12T04:50:19.178+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
a433-microservices-item-db-1   | 2023-12-12T04:50:19.178+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
a433-microservices-item-db-1   | 2023-12-12T04:50:19.178+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-12-12T04:50:19.178+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-12-12T04:50:19.178+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
a433-microservices-item-db-1   | 2023-12-12T04:50:19.178+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
a433-microservices-item-db-1   | 2023-12-12T04:50:19.178+0000 I CONTROL  [initandlisten] 
